Date,Close,High,Low,Open,Volume,silver,sp500,dxy,oil,vix,us3m,dfii10,t10yie,usepuindxd
2015-01-02,1186.0,1194.5,1169.5,1184.0,138,15.734000205993652,2058.199951171875,91.08000183105467,52.68999862670898,17.790000915527344,0.0149999996647238,0.4,1.64,90.66
2015-01-05,1203.9000244140625,1206.9000244140625,1180.0999755859375,1180.300048828125,470,16.179000854492188,2020.5799560546875,91.37999725341795,50.040000915527344,19.920000076293945,0.003000000026077,0.4,1.64,90.66
2015-01-06,1219.300048828125,1220.0,1203.5,1203.5,97,16.60300064086914,2002.6099853515625,91.5,47.93000030517578,21.1200008392334,0.0199999995529651,0.41,1.56,85.46
2015-01-07,1210.5999755859375,1219.199951171875,1210.5999755859375,1219.199951171875,29,16.510000228881836,2025.9000244140625,91.88999938964844,48.650001525878906,19.309999465942383,0.0199999995529651,0.39,1.57,57.14
2015-01-08,1208.4000244140625,1215.699951171875,1206.300048828125,1207.0,92,16.35099983215332,2062.139892578125,92.37000274658205,48.790000915527344,17.010000228881836,0.0179999992251396,0.41,1.62,59.56
2015-01-09,1216.0,1220.199951171875,1210.300048828125,1211.0999755859375,43,16.38599967956543,2044.81005859375,91.94000244140624,48.36000061035156,17.549999237060547,0.0149999996647238,0.36,1.62,44.45
2015-01-12,1232.699951171875,1234.4000244140625,1219.0999755859375,1224.199951171875,100,16.53499984741211,2028.260009765625,91.9800033569336,46.06999969482422,19.600000381469727,0.0130000002682209,0.35,1.57,99.54
2015-01-13,1234.300048828125,1239.300048828125,1230.300048828125,1239.199951171875,20,17.125,2023.030029296875,92.30999755859376,45.88999938964844,20.559999465942383,0.0230000000447034,0.37,1.54,68.71
2015-01-14,1234.4000244140625,1243.800048828125,1225.5999755859375,1229.5999755859375,21,16.95599937438965,2011.27001953125,92.16000366210938,48.47999954223633,21.479999542236328,0.025000000372529,0.29,1.57,82.58
2015-01-15,1264.699951171875,1265.0,1227.300048828125,1231.5,130,17.072999954223633,1992.6700439453125,92.3499984741211,46.25,22.38999938964844,0.0230000000447034,0.19,1.58,88.27
2015-01-16,1276.9000244140625,1279.699951171875,1256.0999755859375,1256.0999755859375,44,17.73900032043457,2019.4200439453125,92.5199966430664,48.68999862670898,20.950000762939453,0.0179999992251396,0.23,1.6,50.91
2015-01-20,1294.199951171875,1297.300048828125,1273.800048828125,1278.9000244140625,157,17.94700050354004,2022.550048828125,93.0500030517578,46.38999938964844,19.88999938964844,0.0080000003799796,0.23,1.59,74.06
2015-01-21,1293.699951171875,1303.5,1286.699951171875,1295.199951171875,78,18.179000854492188,2032.1199951171875,92.9000015258789,47.77999877929688,18.850000381469727,0.0199999995529651,0.26,1.61,43.82
2015-01-22,1300.699951171875,1302.0999755859375,1283.5,1293.199951171875,131,18.34600067138672,2063.14990234375,94.23999786376952,46.310001373291016,16.399999618530273,0.0149999996647238,0.29,1.61,85.21
2015-01-23,1292.5999755859375,1299.800048828125,1292.5999755859375,1299.800048828125,23,18.28400039672852,2051.820068359375,95.0,45.59000015258789,16.65999984741211,0.0130000002682209,0.21,1.6,82.9
2015-01-26,1279.4000244140625,1290.5999755859375,1279.4000244140625,1289.5,26,17.966999053955078,2057.090087890625,94.8000030517578,45.150001525878906,15.520000457763672,0.0049999998882412,0.22,1.61,54.5
2015-01-27,1291.699951171875,1291.699951171875,1277.199951171875,1277.199951171875,20,18.06800079345703,2029.550048828125,94.0199966430664,46.22999954223633,17.219999313354492,0.0179999992251396,0.17,1.66,55.58
2015-01-28,1285.9000244140625,1286.800048828125,1285.9000244140625,1285.9000244140625,180387,18.06800079345703,2002.1600341796875,94.47000122070312,44.45000076293945,20.440000534057617,0.0149999996647238,0.12,1.61,77.51
